Agent,Scores,Milis
DepthSearchAgent,150,643.0845260620117
DepthSearchAgent,571,675.6331920623779
DepthSearchAgent,686,519.0057754516602
DepthSearchAgent,547,501.74427032470703
DepthSearchAgent,460,639.0438079833984
DepthSearchAgent,561,522.0522880554199
DepthSearchAgent,231,659.4085693359375
DepthSearchAgent,305,641.6585445404053
DepthSearchAgent,-189,682.6896667480469
DepthSearchAgent,693,474.1971492767334
DepthSearchAgent,629,614.7754192352295
DepthSearchAgent,363,855.0000190734863
DepthSearchAgent,-645,747.4653720855713
DepthSearchAgent,584,717.2396183013916
DepthSearchAgent,741,535.510778427124
DepthSearchAgent,-167,599.8215675354004
DepthSearchAgent,805,679.7690391540527
DepthSearchAgent,465,625.8165836334229
DepthSearchAgent,723,591.0224914550781
DepthSearchAgent,746,577.3591995239258
DepthSearchAgent,431,617.896556854248
DepthSearchAgent,161,586.181640625
DepthSearchAgent,-336,507.93981552124023
DepthSearchAgent,589,550.1213073730469
DepthSearchAgent,563,688.6429786682129
DepthSearchAgent,549,544.0769195556641
DepthSearchAgent,-117,756.3400268554688
DepthSearchAgent,117,647.6078033447266
DepthSearchAgent,200,600.5866527557373
DepthSearchAgent,337,555.5174350738525
DepthSearchAgent,547,610.3763580322266
DepthSearchAgent,917,503.0548572540283
DepthSearchAgent,521,539.4353866577148
DepthSearchAgent,506,481.0914993286133
DepthSearchAgent,108,602.7061939239502
BreadthSearchAgent,1909,128.5417079925537
BreadthSearchAgent,1817,131.23154640197754
BreadthSearchAgent,1921,135.94412803649902
BreadthSearchAgent,1916,141.798734664917
BreadthSearchAgent,1856,128.88073921203613
BreadthSearchAgent,1895,141.36886596679688
BreadthSearchAgent,1903,135.9541416168213
BreadthSearchAgent,1952,125.19264221191406
BreadthSearchAgent,1876,186.88249588012695
BreadthSearchAgent,2032,129.20904159545898
BreadthSearchAgent,1940,137.0525360107422
BreadthSearchAgent,1953,131.11472129821777
BreadthSearchAgent,1918,123.53038787841797
BreadthSearchAgent,1926,222.4431037902832
BreadthSearchAgent,1959,144.71125602722168
BreadthSearchAgent,1974,131.3931941986084
BreadthSearchAgent,1933,148.19860458374023
BreadthSearchAgent,1919,143.2056427001953
BreadthSearchAgent,1874,122.37215042114258
BreadthSearchAgent,1863,132.16137886047363
BreadthSearchAgent,1871,141.65806770324707
BreadthSearchAgent,1910,112.92862892150879
BreadthSearchAgent,1912,136.20471954345703
BreadthSearchAgent,1881,152.2352695465088
BreadthSearchAgent,1897,143.9809799194336
BreadthSearchAgent,1904,139.67514038085938
BreadthSearchAgent,1888,128.33666801452637
BreadthSearchAgent,1846,136.6097927093506
BreadthSearchAgent,1963,133.6350440979004
BreadthSearchAgent,1892,189.9404525756836
BreadthSearchAgent,1894,174.0705966949463
BreadthSearchAgent,1815,177.8101921081543
BreadthSearchAgent,1917,165.0705337524414
